MFDP version 1a
Run: Manage2020
Time and date: 15:02 27.04.2020
Fbar age range: 4-7
2020								
Age	N	M	Mat	PF	PM	SWt	Sel	CWt
3	497416	0.402	0.028	0	0	0.277	0.037	0.716
4	531880	0.269	0.084	0	0	0.519	0.154	0.950
5	171000	0.238	0.230	0	0	0.860	0.324	1.224
6	60331	0.273	0.526	0	0	1.360	0.504	1.604
7	29429	0.2	0.780	0	0	1.854	0.524	1.895
8	10839	0.2	0.884	0	0	2.168	0.584	2.077
9	9746	0.2	0.964	0	0	2.785	0.584	2.380
10	3557	0.2	0.977	0	0	3.016	0.584	2.626
11	4436	0.2	1	0	0	3.542	0.584	2.790
12	1896	0.2	1	0	0	3.361	0.584	3.045
13	4665	0.2	1	0	0	3.628	0.584	3.329
								
2021								
Age	N	M	Mat	PF	PM	SWt	Sel	CWt
3	293623	0.402	0.029	0	0	0.269	0.037	0.708
4	.	0.269	0.083	0	0	0.515	0.154	0.946
5	.	0.238	0.215	0	0	0.823	0.324	1.192
6	.	0.273	0.457	0	0	1.214	0.504	1.471
7	.	0.2	0.756	0	0	1.774	0.524	1.846
8	.	0.2	0.904	0	0	2.285	0.584	2.128
9	.	0.2	0.948	0	0	2.585	0.584	2.311
10	.	0.2	0.985	0	0	3.222	0.584	2.627
11	.	0.2	1	0	0	3.416	0.584	2.806
12	.	0.2	1	0	0	3.726	0.584	2.993
13	.	0.2	1	0	0	3.677	0.584	3.417
								
2022								
Age	N	M	Mat	PF	PM	SWt	Sel	CWt
3	38636	0.402	0.029	0	0	0.303	0.037	0.744
4	.	0.269	0.086	0	0	0.526	0.154	0.957
5	.	0.238	0.21	0	0	0.812	0.324	1.182
6	.	0.273	0.436	0	0	1.168	0.504	1.430
7	.	0.2	0.693	0	0	1.589	0.524	1.736
8	.	0.2	0.888	0	0	2.191	0.584	2.087
9	.	0.2	0.959	0	0	2.718	0.584	2.358
10	.	0.2	0.976	0	0	3.001	0.584	2.573
11	.	0.2	1	0	0	3.624	0.584	2.807
12	.	0.2	1	0	0	3.596	0.584	3.004
13	.	0.2	1	0	0	4.029	0.584	3.376
